PERMNO,HdrCUSIP,Ticker,PERMCO,MthCalDt,MthPrc
82654,78008710,RY,29151,2021-10-29,104.010000
82654,78008710,RY,29151,2021-11-30,99.030000
82654,78008710,RY,29151,2021-12-31,106.140000
82654,78008710,RY,29151,2022-01-31,114.040000
82654,78008710,RY,29151,2022-02-28,110.420000
82654,78008710,RY,29151,2022-03-31,110.270000
82654,78008710,RY,29151,2022-04-29,101.030000
82654,78008710,RY,29151,2022-05-31,104.480000
82654,78008710,RY,29151,2022-06-30,96.820000
82654,78008710,RY,29151,2022-07-29,97.510000
82654,78008710,RY,29151,2022-08-31,93.040000
82654,78008710,RY,29151,2022-09-30,90.040000
82654,78008710,RY,29151,2022-10-31,92.470000
82654,78008710,RY,29151,2022-11-30,99.780000
82654,78008710,RY,29151,2022-12-30,94.020000
82654,78008710,RY,29151,2023-01-31,102.360000
82654,78008710,RY,29151,2023-02-28,101.480000
82654,78008710,RY,29151,2023-03-31,95.580000
82654,78008710,RY,29151,2023-04-28,99.310000
82654,78008710,RY,29151,2023-05-31,89.480000
82654,78008710,RY,29151,2023-06-30,95.510000
82654,78008710,RY,29151,2023-07-31,99.130000
82654,78008710,RY,29151,2023-08-31,90.100000
82654,78008710,RY,29151,2023-09-29,87.440000
82654,78008710,RY,29151,2023-10-31,79.880000
82654,78008710,RY,29151,2023-11-30,90.400000
82654,78008710,RY,29151,2023-12-29,101.130000
82654,78008710,RY,29151,2024-01-31,97.610000
82654,78008710,RY,29151,2024-02-29,97.080000
82654,78008710,RY,29151,2024-03-28,100.880000
82654,78008710,RY,29151,2024-04-30,96.830000
82654,78008710,RY,29151,2024-05-31,109.270000
82654,78008710,RY,29151,2024-06-28,106.380000
82654,78008710,RY,29151,2024-07-31,111.740000
82654,78008710,RY,29151,2024-08-30,120.780000
82654,78008710,RY,29151,2024-09-30,124.730000
82654,78008710,RY,29151,2024-10-31,120.890000
82654,78008710,RY,29151,2024-11-29,125.670000
82654,78008710,RY,29151,2024-12-31,120.510000
82654,78008710,RY,29151,2025-01-31,121.930000
82654,78008710,RY,29151,2025-02-28,118.170000
82654,78008710,RY,29151,2025-03-31,112.720000
82654,78008710,RY,29151,2025-04-30,119.880000
82654,78008710,RY,29151,2025-05-30,126.660000
82654,78008710,RY,29151,2025-06-30,131.550000
82654,78008710,RY,29151,2025-07-31,128.460000
82654,78008710,RY,29151,2025-08-29,145.360000
82654,78008710,RY,29151,2025-09-30,147.320000
82654,78008710,RY,29151,2025-10-31,146.500000
82654,78008710,RY,29151,2025-11-28,154.090000
82654,78008710,RY,29151,2025-12-31,170.490000
84788,02313510,AMZN,15473,2020-01-31,2008.720000
84788,02313510,AMZN,15473,2020-02-28,1883.750000
84788,02313510,AMZN,15473,2020-03-31,1949.720000
84788,02313510,AMZN,15473,2020-04-30,2474.000000
84788,02313510,AMZN,15473,2020-05-29,2442.370000
84788,02313510,AMZN,15473,2020-06-30,2758.820000
84788,02313510,AMZN,15473,2020-07-31,3164.680000
84788,02313510,AMZN,15473,2020-08-31,3450.960000
84788,02313510,AMZN,15473,2020-09-30,3148.730000
84788,02313510,AMZN,15473,2020-10-30,3036.150000
84788,02313510,AMZN,15473,2020-11-30,3168.040000
84788,02313510,AMZN,15473,2020-12-31,3256.930000
84788,02313510,AMZN,15473,2021-01-29,3206.200000
84788,02313510,AMZN,15473,2021-02-26,3092.930000
84788,02313510,AMZN,15473,2021-03-31,3094.080000
84788,02313510,AMZN,15473,2021-04-30,3467.420000
84788,02313510,AMZN,15473,2021-05-28,3223.070000
84788,02313510,AMZN,15473,2021-06-30,3440.160000
84788,02313510,AMZN,15473,2021-07-30,3327.590000
84788,02313510,AMZN,15473,2021-08-31,3470.790000
84788,02313510,AMZN,15473,2021-09-30,3285.040000
84788,02313510,AMZN,15473,2021-10-29,3372.430000
84788,02313510,AMZN,15473,2021-11-30,3507.070000
84788,02313510,AMZN,15473,2021-12-31,3334.340000
84788,02313510,AMZN,15473,2022-01-31,2991.470000
84788,02313510,AMZN,15473,2022-02-28,3071.260000
84788,02313510,AMZN,15473,2022-03-31,3259.950000
84788,02313510,AMZN,15473,2022-04-29,2485.630000
84788,02313510,AMZN,15473,2022-05-31,2404.190000
84788,02313510,AMZN,15473,2022-06-30,106.210000
84788,02313510,AMZN,15473,2022-07-29,134.950000
84788,02313510,AMZN,15473,2022-08-31,126.770000
84788,02313510,AMZN,15473,2022-09-30,113.000000
84788,02313510,AMZN,15473,2022-10-31,102.440000
84788,02313510,AMZN,15473,2022-11-30,96.540000
84788,02313510,AMZN,15473,2022-12-30,84.000000
84788,02313510,AMZN,15473,2023-01-31,103.130000
84788,02313510,AMZN,15473,2023-02-28,94.230000
84788,02313510,AMZN,15473,2023-03-31,103.290000
84788,02313510,AMZN,15473,2023-04-28,105.450000
84788,02313510,AMZN,15473,2023-05-31,120.580000
84788,02313510,AMZN,15473,2023-06-30,130.360000
84788,02313510,AMZN,15473,2023-07-31,133.680000
84788,02313510,AMZN,15473,2023-08-31,138.010000
84788,02313510,AMZN,15473,2023-09-29,127.120000
84788,02313510,AMZN,15473,2023-10-31,133.090000
84788,02313510,AMZN,15473,2023-11-30,146.090000
84788,02313510,AMZN,15473,2023-12-29,151.940000
84788,02313510,AMZN,15473,2024-01-31,155.200000
84788,02313510,AMZN,15473,2024-02-29,176.760000
84788,02313510,AMZN,15473,2024-03-28,180.380000
84788,02313510,AMZN,15473,2024-04-30,175.000000
84788,02313510,AMZN,15473,2024-05-31,176.440000
84788,02313510,AMZN,15473,2024-06-28,193.250000
84788,02313510,AMZN,15473,2024-07-31,186.980000
84788,02313510,AMZN,15473,2024-08-30,178.500000
84788,02313510,AMZN,15473,2024-09-30,186.330000
84788,02313510,AMZN,15473,2024-10-31,186.400000
84788,02313510,AMZN,15473,2024-11-29,207.890000
84788,02313510,AMZN,15473,2024-12-31,219.390000
84788,02313510,AMZN,15473,2025-01-31,237.680000
84788,02313510,AMZN,15473,2025-02-28,212.280000
84788,02313510,AMZN,15473,2025-03-31,190.260000
84788,02313510,AMZN,15473,2025-04-30,184.420000
84788,02313510,AMZN,15473,2025-05-30,205.010000
84788,02313510,AMZN,15473,2025-06-30,219.390000
84788,02313510,AMZN,15473,2025-07-31,234.110000
84788,02313510,AMZN,15473,2025-08-29,229.000000
84788,02313510,AMZN,15473,2025-09-30,219.570000
84788,02313510,AMZN,15473,2025-10-31,244.220000
84788,02313510,AMZN,15473,2025-11-28,233.220000
84788,02313510,AMZN,15473,2025-12-31,230.820000
86115,15101Q20,CLS,34775,2020-01-31,9.040000
