PERMNO,HdrCUSIP,SecurityNm,Ticker,PERMCO,IssuerNm,MthCalDt,MthPrc,MthPrcDt
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2024-05-31,40.820000,2024-05-31
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2024-06-28,38.100000,2024-06-28
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2024-07-31,39.920000,2024-07-31
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2024-08-30,40.540000,2024-08-30
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2024-09-30,36.920000,2024-09-30
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2024-10-31,37.770000,2024-10-31
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2024-11-29,39.480000,2024-11-29
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2024-12-31,35.680000,2024-12-31
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2025-01-31,37.560000,2025-01-31
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2025-02-28,38.280000,2025-02-28
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2025-03-31,38.720000,2025-03-31
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2025-04-30,35.290000,2025-04-30
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2025-05-30,35.550000,2025-05-30
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2025-06-30,37.450000,2025-06-30
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2025-07-31,39.460000,2025-07-31
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2025-08-29,41.300000,2025-08-29
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2025-09-30,41.810000,2025-09-30
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2025-10-31,39.810000,2025-10-31
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2025-11-28,44.780000,2025-11-28
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2025-12-31,44.360000,2025-12-31
82654,78008710,ROYAL BANK CANADA MONTREAL QUE; COM NONE; CONS,RY,29151,ROYAL BANK CANADA MONTREAL QUE,2020-01-31,78.960000,2020-01-31
82654,78008710,ROYAL BANK CANADA MONTREAL QUE; COM NONE; CONS,RY,29151,ROYAL BANK CANADA MONTREAL QUE,2020-02-28,74.470000,2020-02-28
82654,78008710,ROYAL BANK CANADA MONTREAL QUE; COM NONE; CONS,RY,29151,ROYAL BANK CANADA MONTREAL QUE,2020-03-31,61.550000,2020-03-31
82654,78008710,ROYAL BANK CANADA MONTREAL QUE; COM NONE; CONS,RY,29151,ROYAL BANK CANADA MONTREAL QUE,2020-04-30,61.590000,2020-04-30
82654,78008710,ROYAL BANK CANADA MONTREAL QUE; COM NONE; CONS,RY,29151,ROYAL BANK CANADA MONTREAL QUE,2020-05-29,64.850000,2020-05-29
